[0.51 0.49]
[0.41 0.59]
[0.65 0.35]
[0.65 0.35]
[0.77 0.23]
[0.59 0.41]
[0.55 0.45]
[0.52 0.48]
[0.82 0.18]
[0.83 0.17]
[0.65 0.35]
[0.77 0.23]
[0.66 0.34]
[0.75 0.25]
[0.57 0.43]
[0.71 0.29]
[0.74 0.26]
[0.54 0.46]
[0.56 0.44]
[0.78 0.22]
[0.84 0.16]
[0.82 0.18]
[0.54 0.46]
[0.53 0.47]
[0.56 0.44]
[0.66 0.34]
[0.57 0.43]
[0.59 0.41]
[0.84 0.16]
[0.48 0.52]
