@RELATION pyAudioAnalysis/data/svmSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {outputs_nonstutter,outputs_stutter}

@DATA
0.069192,0.002255,3.153358,0.461163,0.304530,0.752018,0.001014,0.031579,-42.941129,0.241127,0.130434,-0.017871,-0.005235,-0.004676,-0.014992,0.008945,-0.010726,-0.013919,-0.076252,-0.064113,-0.077568,0.001241,0.000231,0.007840,0.001875,0.139823,0.000677,0.004987,0.000121,0.000228,0.000566,0.001467,0.000157,0.040557,0.031138,0.009806,0.576893,0.062657,0.032712,0.292299,0.002128,0.095861,4.817629,0.886735,0.370446,0.189842,0.136127,0.132569,0.132616,0.148152,0.179114,0.149008,0.231939,0.124560,0.132804,0.003465,0.000464,0.023319,0.005505,0.039340,0.001978,0.019791,0.000079,0.000537,0.001658,0.005379,0.000226,0.005011,outputs_nonstutter
0.065608,0.012565,3.233201,0.472377,0.300693,1.415739,0.001654,0.609392,-35.346871,0.264199,0.136813,0.054257,0.034855,0.003149,-0.042204,0.015426,-0.000313,0.007879,-0.039083,-0.009912,0.032208,0.000456,0.000329,0.037019,0.000524,0.106815,0.000664,0.020425,0.000280,0.000401,0.001138,0.001690,0.000330,0.039750,0.013344,0.031003,0.184198,0.082602,0.011021,0.404315,0.004016,0.225664,4.944135,0.805746,0.280704,0.160943,0.085416,0.157487,0.159724,0.135099,0.106436,0.113525,0.125953,0.116535,0.098341,0.000364,0.000210,0.087895,0.000560,0.038943,0.000937,0.047394,0.000150,0.000282,0.002871,0.003718,0.000253,0.014317,outputs_nonstutter
0.056579,0.066674,2.888702,0.244343,0.276638,0.387746,0.006977,0.030309,-23.961205,1.798926,0.550277,0.454173,0.053244,0.219762,-0.069243,0.315959,-0.067009,0.069226,0.120698,-0.049861,0.089886,0.002035,0.000453,0.134735,0.002163,0.053169,0.001336,0.143154,0.000153,0.000648,0.001659,0.010258,0.000555,0.060232,0.032872,0.030433,0.187048,0.027471,0.016583,0.331574,0.004366,0.069535,0.602279,0.253686,0.200985,0.215399,0.193629,0.137175,0.219099,0.231583,0.167147,0.148890,0.160808,0.175062,0.102735,0.001921,0.000353,0.079462,0.001784,0.034005,0.001154,0.101164,0.000105,0.000476,0.001645,0.011892,0.000639,0.020899,outputs_nonstutter
0.041583,0.025239,2.776349,0.250087,0.301834,0.178612,0.007556,0.005172,-26.281781,2.280660,0.480733,0.401071,0.166074,0.126517,0.053102,0.010243,0.024469,0.118004,0.110066,0.022992,-0.060310,0.002887,0.000262,0.123600,0.001531,0.046434,0.000952,0.189189,0.000176,0.000421,0.002631,0.011913,0.000352,0.067353,0.026905,0.027472,0.149290,0.036439,0.015067,0.092246,0.004915,0.003457,0.746376,0.258287,0.211275,0.188284,0.117996,0.143130,0.128923,0.153886,0.140849,0.145173,0.127360,0.137755,0.137808,0.002811,0.000229,0.084608,0.001553,0.039623,0.001027,0.093446,0.000171,0.000287,0.002051,0.010231,0.000304,0.018342,outputs_nonstutter
0.058462,0.015877,2.789162,0.270588,0.301062,0.359305,0.009757,0.041016,-26.838057,2.224781,0.632894,0.440682,0.193112,0.173965,-0.070582,0.099100,0.049647,0.170965,0.166381,-0.013147,0.051359,0.002265,0.000250,0.126125,0.002423,0.038631,0.001215,0.201958,0.000094,0.000431,0.001279,0.007231,0.000483,0.072167,0.042879,0.010457,0.177729,0.024991,0.029241,0.472455,0.009271,0.098095,0.820484,0.388467,0.216079,0.191028,0.144154,0.112653,0.192559,0.187681,0.197584,0.125464,0.196566,0.208813,0.172268,0.001952,0.000164,0.097895,0.002976,0.034872,0.000985,0.108368,0.000071,0.000339,0.000896,0.006678,0.000352,0.021436,outputs_nonstutter
0.056851,0.020965,2.712669,0.262526,0.307893,0.267204,0.006902,0.025000,-26.339312,2.238003,0.602330,0.487125,0.207142,0.166881,-0.005662,0.014521,-0.004325,0.139715,0.156611,-0.002471,0.029456,0.002326,0.000174,0.128617,0.001521,0.040508,0.001367,0.206818,0.000140,0.000589,0.001896,0.006840,0.000437,0.069726,0.030124,0.007897,0.204787,0.022437,0.017961,0.367533,0.004697,0.085013,0.615982,0.242741,0.212074,0.137432,0.187227,0.176937,0.210818,0.113010,0.173743,0.102004,0.146092,0.117485,0.146683,0.003168,0.000124,0.075007,0.001670,0.026711,0.002214,0.090783,0.000132,0.000411,0.001407,0.005398,0.000375,0.018975,outputs_nonstutter
0.117627,0.040717,3.000675,0.211375,0.204860,0.677197,0.012167,0.159211,-26.102516,1.556317,-0.223823,-0.557427,-0.220161,0.263526,-0.197284,-0.069925,-0.618733,-0.324898,-0.055197,0.189631,0.252066,0.001536,0.000789,0.020073,0.009947,0.049789,0.043519,0.058705,0.002328,0.004011,0.001613,0.004017,0.002525,0.036070,0.144473,0.046221,0.282231,0.113134,0.048655,0.787246,0.009440,0.223755,3.602099,0.899736,0.626122,0.617903,0.365646,0.473851,0.380112,0.365363,0.438695,0.399391,0.441820,0.389119,0.305976,0.001147,0.000576,0.045572,0.022980,0.066631,0.065860,0.089162,0.002824,0.006853,0.001880,0.006978,0.006948,0.025509,outputs_nonstutter
0.155467,0.016552,2.896066,0.237035,0.176262,1.161867,0.008192,0.254356,-28.152383,1.487410,0.498228,-0.832245,-0.201974,0.344701,-0.078893,0.274175,-0.441052,-0.098182,-0.217700,-0.271866,-0.109080,0.003705,0.004054,0.043259,0.023210,0.013092,0.007711,0.015213,0.004431,0.004759,0.001708,0.002298,0.001519,0.016079,0.114620,0.019877,0.349119,0.096012,0.031222,0.773803,0.009371,0.181307,2.585312,1.293551,0.727267,0.573395,0.443019,0.472225,0.333479,0.328371,0.268525,0.205903,0.417592,0.365378,0.215809,0.003567,0.006331,0.040651,0.031658,0.026277,0.012898,0.023720,0.009500,0.010201,0.001838,0.002736,0.002434,0.013291,outputs_nonstutter
0.111162,0.026108,3.026448,0.214196,0.197584,0.646597,0.012028,0.151951,-27.678919,1.644793,0.097269,-0.162174,-0.076312,-0.004121,-0.220437,-0.010919,-0.220184,-0.150843,-0.271938,-0.090342,-0.181502,0.003556,0.004474,0.048998,0.026901,0.036348,0.007935,0.050024,0.001262,0.004996,0.004920,0.008045,0.001892,0.031920,0.120007,0.020678,0.351541,0.094590,0.055079,0.723879,0.011933,0.180742,3.457139,1.038669,0.855156,0.446380,0.323797,0.303510,0.264702,0.243019,0.342092,0.363657,0.363870,0.354038,0.309681,0.005977,0.010427,0.052602,0.054083,0.053605,0.017314,0.090762,0.001588,0.010652,0.014435,0.019554,0.002145,0.025801,outputs_nonstutter
0.049932,0.013418,2.710711,0.203097,0.261107,0.236695,0.010812,0.025408,-29.602553,1.788981,0.398085,0.440482,0.064023,0.227280,-0.137813,0.175067,-0.055519,-0.098556,0.023401,0.000229,-0.005385,0.003131,0.001224,0.081907,0.012907,0.055275,0.002012,0.153181,0.000438,0.000640,0.003121,0.013927,0.000883,0.055278,0.026812,0.027679,0.490799,0.048876,0.046545,0.175149,0.007667,0.032841,3.564251,0.963169,0.391449,0.306133,0.264032,0.186076,0.301073,0.221856,0.321359,0.334972,0.277334,0.153288,0.162787,0.002730,0.003760,0.066447,0.035502,0.039315,0.002239,0.099182,0.000894,0.000487,0.003500,0.015418,0.001365,0.019292,outputs_nonstutter
0.089723,0.029100,2.995851,0.196589,0.203613,0.540657,0.015365,0.108757,-27.980664,2.327526,0.585942,-0.615167,-0.132746,-0.069963,0.011480,0.086077,-0.353694,-0.298978,-0.452390,-0.148677,-0.037775,0.002207,0.006797,0.052659,0.086255,0.041957,0.005230,0.039275,0.000816,0.000978,0.001483,0.004538,0.000741,0.043463,0.109923,0.024760,0.353650,0.091308,0.048054,0.616215,0.019011,0.160839,3.315666,1.048441,0.455466,0.702439,0.263489,0.369519,0.302258,0.282690,0.434231,0.379514,0.423530,0.303810,0.274708,0.001869,0.024607,0.050797,0.105389,0.045385,0.008329,0.063803,0.001794,0.000926,0.001854,0.007498,0.000655,0.021846,outputs_nonstutter
0.054265,0.011610,2.899921,0.196750,0.252999,0.388806,0.011777,0.047595,-28.161970,1.859467,0.530183,0.063243,0.261214,0.261494,-0.055360,0.348142,-0.155778,0.060958,0.019492,0.028052,-0.115594,0.007904,0.002678,0.099119,0.003092,0.036706,0.002180,0.158480,0.000524,0.000794,0.002922,0.015564,0.000901,0.057384,0.037258,0.035500,0.202437,0.027517,0.031920,0.380342,0.009946,0.069728,1.875525,0.585301,0.334681,0.520892,0.290595,0.389715,0.136733,0.222892,0.272531,0.136540,0.258598,0.239655,0.313451,0.017189,0.007633,0.077423,0.003419,0.032667,0.002659,0.105821,0.000783,0.001124,0.002186,0.013995,0.000948,0.022429,outputs_nonstutter
0.063793,0.066016,2.843351,0.273069,0.295734,0.312949,0.009257,0.011298,-24.433761,2.185526,0.599306,0.386031,0.141265,0.159484,-0.030622,0.051791,0.015735,0.048266,0.077224,0.052350,0.035575,0.002234,0.000297,0.125081,0.001986,0.049354,0.001538,0.177242,0.000182,0.000693,0.002492,0.009916,0.000409,0.066753,0.024266,0.034666,0.178135,0.024260,0.009572,0.168653,0.007418,0.015417,0.456390,0.262659,0.145628,0.133941,0.112173,0.106278,0.143453,0.133857,0.142696,0.147186,0.186117,0.101784,0.111886,0.002006,0.000206,0.091912,0.002195,0.038860,0.001680,0.110716,0.000172,0.000707,0.003160,0.012050,0.000395,0.023237,outputs_nonstutter
0.074161,0.027044,2.904089,0.211186,0.238003,0.553182,0.007294,0.072777,-29.369584,1.716965,0.340608,-0.326586,0.162153,0.120190,-0.027807,0.227474,-0.445255,-0.110656,-0.133304,0.118561,0.156901,0.002960,0.001801,0.080167,0.011785,0.046835,0.013964,0.062354,0.001272,0.002438,0.002182,0.006434,0.001006,0.037227,0.043837,0.054492,0.337829,0.056594,0.052120,0.436518,0.006056,0.092654,4.444783,0.968679,0.498014,0.728069,0.211375,0.374244,0.301967,0.449732,0.571309,0.324440,0.367116,0.187729,0.205678,0.002813,0.002706,0.092574,0.025332,0.038731,0.027757,0.064409,0.001291,0.004080,0.002177,0.006951,0.000877,0.022705,outputs_nonstutter
0.111116,0.057806,3.039443,0.187718,0.176035,0.777754,0.020951,0.160299,-25.421839,1.723701,0.361072,-0.918011,-0.293549,0.154411,-0.333742,0.153496,-0.901938,-0.269094,-0.359048,-0.006382,0.230300,0.001411,0.001451,0.015184,0.020599,0.056957,0.032219,0.010691,0.001570,0.001169,0.001057,0.000972,0.000650,0.026737,0.107573,0.049204,0.312647,0.092383,0.023174,0.835015,0.016100,0.185054,2.421233,1.177432,0.752891,0.650147,0.507592,0.344032,0.266309,0.448766,0.515542,0.407016,0.363637,0.468632,0.335592,0.001384,0.002817,0.030599,0.032627,0.092200,0.046594,0.014717,0.001838,0.001409,0.000736,0.000591,0.000529,0.023754,outputs_nonstutter
0.099025,0.030393,3.046947,0.215521,0.238240,0.721337,0.007520,0.122232,-27.651766,1.660080,0.293762,-0.043029,-0.097042,0.138108,-0.258559,0.279973,-0.329770,-0.207856,-0.215763,-0.081994,0.002147,0.005271,0.002045,0.090446,0.049366,0.034309,0.004839,0.057631,0.000715,0.002396,0.002882,0.003470,0.000787,0.043053,0.077555,0.057222,0.230124,0.063492,0.044664,0.698563,0.005617,0.150773,3.460213,1.220381,0.471427,0.558131,0.363101,0.380764,0.315280,0.375782,0.370932,0.345991,0.432212,0.336537,0.125849,0.004989,0.002908,0.086866,0.069209,0.040640,0.005610,0.078224,0.000810,0.003385,0.002295,0.002663,0.000666,0.023647,outputs_nonstutter
0.135572,0.018458,2.793956,0.247267,0.211765,0.968843,0.009252,0.208575,-29.783574,1.287184,0.606031,-0.490739,-0.099334,0.337138,-0.204261,0.291964,-0.415679,-0.007856,-0.024726,0.084931,0.145256,0.001602,0.001590,0.044680,0.006687,0.029594,0.009777,0.062166,0.001768,0.004123,0.002419,0.006653,0.000734,0.026545,0.109785,0.043550,0.370439,0.074895,0.056237,0.717255,0.006101,0.192522,3.670714,1.013762,0.635858,0.920939,0.459995,0.270180,0.177156,0.225229,0.417259,0.282520,0.282685,0.246839,0.261840,0.001355,0.003210,0.062384,0.008582,0.032826,0.020116,0.087902,0.002501,0.009761,0.003030,0.013700,0.000997,0.025777,outputs_nonstutter
0.076747,0.041510,3.092702,0.173861,0.197163,0.719820,0.022212,0.128766,-25.512388,1.804469,0.259141,-0.528638,0.088814,-0.321222,-0.146986,0.072848,-0.542282,-0.225256,-0.522394,-0.133973,-0.177490,0.005817,0.008270,0.074790,0.041265,0.047740,0.017510,0.012131,0.000910,0.001557,0.005215,0.002341,0.001555,0.038221,0.079149,0.036939,0.233330,0.069102,0.032001,0.727695,0.030365,0.153344,2.518953,0.996004,0.362806,0.534189,0.415401,0.373703,0.309727,0.439352,0.315865,0.338499,0.540038,0.459195,0.460138,0.010042,0.013560,0.075978,0.067831,0.066092,0.043630,0.016195,0.000756,0.001639,0.014371,0.002105,0.002564,0.021192,outputs_nonstutter
0.057260,0.029673,2.821300,0.197762,0.240674,0.319901,0.011796,0.055944,-28.844722,2.141019,0.324170,0.100253,-0.143146,-0.105524,0.016134,0.037116,-0.252357,-0.192379,-0.278002,-0.148759,0.064737,0.004682,0.000811,0.111898,0.043960,0.052761,0.003679,0.097127,0.000253,0.001032,0.001881,0.005647,0.000680,0.058984,0.068618,0.040333,0.473332,0.071983,0.058907,0.440584,0.013237,0.107862,4.034459,0.764174,0.620550,0.525984,0.353731,0.365455,0.198206,0.222131,0.360945,0.369099,0.404975,0.167150,0.247193,0.008247,0.000710,0.109465,0.071571,0.047824,0.003387,0.119271,0.000321,0.000844,0.001909,0.006786,0.000652,0.027112,outputs_nonstutter
0.141969,0.026748,2.711881,0.218353,0.170569,1.005326,0.010875,0.206851,-26.677206,1.294295,0.367517,-0.702279,-0.062517,0.354705,-0.216413,0.245656,-0.613691,-0.108986,-0.259878,-0.199878,0.060934,0.003096,0.001571,0.030135,0.028641,0.028384,0.005926,0.014058,0.001793,0.002818,0.008896,0.002831,0.001182,0.017566,0.111787,0.020567,0.552679,0.095992,0.033912,0.766559,0.009458,0.178499,2.883089,1.271665,0.807914,0.507163,0.437322,0.346247,0.274358,0.259312,0.384681,0.453674,0.328943,0.410696,0.278615,0.003564,0.002040,0.045046,0.035617,0.039927,0.008170,0.028004,0.003049,0.004503,0.021117,0.003645,0.001190,0.016234,outputs_nonstutter
